,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Graaff-Reinet,ZA,-32.2522,24.5308,60.93,92,3,1.36,clear sky
104,Cherskiy,RU,68.75,161.3,-29.67,99,24,1.95,few clouds
105,Praia Da Vitoria,PT,38.7333,-27.0667,57.45,94,75,15.03,broken clouds
106,Susanville,US,40.4163,-120.653,31.84,67,0,3.0,clear sky
107,Matara,LK,5.9485,80.5353,81.81,63,43,7.9,scattered clouds
108,Paidha,UG,2.4167,30.9855,62.98,44,100,4.65,overcast clouds
109,San Juan,AR,-31.5375,-68.5364,65.91,48,85,4.0,overcast clouds
110,Gornopravdinsk,RU,60.05,69.9,14.9,97,100,2.89,overcast clouds
111,Half Moon Bay,US,37.4636,-122.4286,57.92,59,0,8.05,clear sky
112,Avarua,CK,-21.2078,-159.775,82.45,78,20,14.97,few clouds
113,Blackwater,AU,-23.5833,148.8833,86.81,31,25,11.5,scattered clouds
114,Fortuna,US,40.5982,-124.1573,45.66,97,0,6.91,clear sky
115,Cocorit,MX,27.5833,-109.9667,57.02,53,0,2.59,clear sky
116,Shache,CN,38.4167,77.2406,28.38,53,92,4.52,overcast clouds
117,Butaritari,KI,3.0707,172.7902,82.8,75,95,17.0,overcast clouds
118,Saint-Louis,SN,16.3333,-15.0,73.04,11,0,9.55,clear sky
119,Biak,ID,-0.9131,122.8766,83.46,71,76,1.77,light rain
120,Amapa,BR,1.0,-52.0,71.06,100,100,1.5,light rain
121,Tarakan,ID,3.3,117.6333,76.5,94,100,4.61,overcast clouds
122,Lebu,CL,-37.6167,-73.65,57.72,85,0,15.73,clear sky
123,The Pas,CA,53.8251,-101.2541,-3.98,77,100,2.3,overcast clouds
124,Sainte-Rose,GP,16.3324,-61.6979,71.19,100,0,0.0,clear sky
125,Airai,TL,-8.9266,125.4092,73.15,68,64,3.2,broken clouds
126,Georgetown,MY,5.4112,100.3354,85.93,75,20,1.99,few clouds
127,Upernavik,GL,72.7868,-56.1549,-1.59,98,100,3.67,overcast clouds
128,Nantucket,US,41.2835,-70.0995,24.91,58,0,18.41,clear sky
129,Basco,PH,20.4487,121.9702,72.32,76,100,29.21,overcast clouds
130,Castro,BR,-24.7911,-50.0119,63.32,98,99,3.85,light rain
131,Yar-Sale,RU,66.8333,70.8333,-16.78,100,89,3.85,overcast clouds
132,Chuy,UY,-33.6971,-53.4616,62.02,93,17,7.85,few clouds
133,Sorong,ID,-0.8833,131.25,84.61,69,100,11.92,overcast clouds
134,Nanortalik,GL,60.1432,-45.2371,9.81,59,100,13.47,overcast clouds
135,Saint-Philippe,RE,-21.3585,55.7679,81.99,84,99,19.98,light rain
136,Wagar,SD,16.1525,36.2032,60.12,73,0,12.77,clear sky
137,Havoysund,NO,70.9963,24.6622,31.08,72,44,29.93,scattered clouds
138,Palmer,US,42.1584,-72.3287,16.14,95,7,1.81,clear sky
139,Muros,ES,42.7762,-9.0603,46.24,81,46,9.66,scattered clouds
140,Ostrovnoy,RU,68.0531,39.5131,14.07,83,100,28.32,overcast clouds
141,Tautira,PF,-17.7333,-149.15,84.22,74,49,19.28,light rain
142,Seoul,KR,37.5683,126.9778,35.2,30,20,16.11,few clouds
143,Esperance,AU,-33.8667,121.9,96.64,33,11,9.64,few clouds
