City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
272,Port Shepstone,ZA,72.05,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
274,Birnin Kebbi,NG,63.5,clear sky,12.4539,4.1975,Saffar Guest Inn Ltd
275,Katherine,AU,89.92,overcast clouds,-14.4667,132.2667,Pine Tree Motel
280,Nosy Varika,MG,78.1,light rain,-20.5833,48.5333,Hotel Volazara
284,Mitsamiouli,KM,77.29,light rain,-11.3847,43.2844,Foyer ADM
286,Dawei,MM,88.81,broken clouds,14.0833,98.2,Hotel Dawei
287,Velingara,SN,72.03,clear sky,13.15,-14.1167,Hotel Najla
293,Grand Gaube,MU,82.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
296,Mareeba,AU,83.66,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
297,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
302,Thinadhoo,MV,81.95,few clouds,0.5333,72.9333,
303,Madang,PG,89.35,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
306,Huarmey,PE,70.48,broken clouds,-10.0681,-78.1522,Hotel Miramar
307,Manggar,ID,83.35,light rain,-2.8833,108.2667,Guest Hotel
310,Hualmay,PE,69.69,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
311,Walvis Bay,,67.15,overcast clouds,-22.9575,14.5053,Oyster Box Guesthouse
312,Ponta Delgada,PT,60.49,few clouds,37.7333,-25.6667,Vila Nova Hotel
313,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
314,Itarema,BR,77.25,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
316,Puerto Ayora,EC,74.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
317,Odweyne,SO,62.2,overcast clouds,9.4092,45.064,Eng Hiirey House
321,Tondon,GN,65.91,scattered clouds,10.3667,-13.35,
325,Cooma,AU,64.17,scattered clouds,-36.2333,149.1333,High Country Motel
327,Carauari,BR,69.75,broken clouds,-4.8828,-66.8958,Hotel Fellip
