City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Nioro,GM,2022-02-06 01:52:38,13.35,-15.75,75.7,16,0,3.06
165,Warmbad,NA,2022-02-06 01:52:39,-28.45,18.7333,85.51,28,85,9.04
166,Beringovskiy,RU,2022-02-06 01:49:23,63.05,179.3167,-8.72,93,80,13.73
167,Amapa,BR,2022-02-06 01:52:41,1.0,-52.0,71.47,99,100,1.39
168,Port Macquarie,AU,2022-02-06 01:52:41,-31.4333,152.9167,73.36,58,71,17.18
169,Heishan,CN,2022-02-06 01:52:41,41.6892,122.1128,22.26,39,0,9.98
170,Mar Del Plata,AR,2022-02-06 01:49:04,-38.0023,-57.5575,62.87,73,75,7.0
171,Baykit,RU,2022-02-06 01:52:42,61.67,96.37,2.41,98,89,4.03
172,Pevek,RU,2022-02-06 01:52:42,69.7008,170.3133,-26.55,99,30,1.66
173,Vila,PT,2022-02-06 01:52:42,42.0304,-8.1588,36.32,82,0,4.34
174,Inuvik,CA,2022-02-06 01:52:43,68.3499,-133.7218,-24.59,68,75,2.3
175,Mattru,SL,2022-02-06 01:52:43,7.6244,-11.8332,71.6,94,58,1.28
176,Soubre,CI,2022-02-06 01:52:43,5.7856,-6.6083,73.49,96,87,1.41
177,Bilibino,RU,2022-02-06 01:52:44,68.0546,166.4372,-11.49,85,13,4.03
178,Tautira,PF,2022-02-06 01:52:44,-17.7333,-149.15,86.02,75,36,19.15
179,Denpasar,ID,2022-02-06 01:53:45,-8.65,115.2167,85.71,74,20,8.05
180,Nara,JP,2022-02-06 01:53:46,34.6851,135.8049,40.98,62,26,13.44
181,Severo-Kurilsk,RU,2022-02-06 01:50:08,50.6789,156.125,30.07,83,92,11.52
182,Bredasdorp,ZA,2022-02-06 01:50:01,-34.5322,20.0403,67.28,88,27,14.97
183,Victoria,HK,2022-02-06 01:53:47,22.2855,114.1577,63.25,78,99,5.99
184,Luderitz,NA,2022-02-06 01:53:47,-26.6481,15.1594,66.76,81,92,10.16
185,Nacala,MZ,2022-02-06 01:53:48,-14.5428,40.6728,73.67,88,63,8.14
186,Sangar,RU,2022-02-06 01:53:48,63.9242,127.4739,-30.37,96,100,3.6
187,Hualmay,PE,2022-02-06 01:52:32,-11.0964,-77.6139,70.03,83,100,8.61
188,Sistranda,NO,2022-02-06 01:53:50,63.7256,8.834,36.9,71,100,25.99
189,Cedar City,US,2022-02-06 01:51:49,37.6775,-113.0619,40.17,26,0,13.8
190,Minab,IR,2022-02-06 01:53:50,27.1467,57.0801,66.52,82,20,1.14
191,Salinopolis,BR,2022-02-06 01:53:50,-0.6136,-47.3561,77.67,88,100,8.77
192,Zanjan,IR,2022-02-06 01:53:51,36.6736,48.4787,23.07,91,85,4.03
193,Yako,BF,2022-02-06 01:53:51,12.9667,-2.2667,65.73,14,5,9.51
194,Goundam,ML,2022-02-06 01:53:51,16.4145,-3.6708,63.09,13,0,9.44
195,Codrington,AU,2022-02-06 01:53:52,-38.2667,141.9667,79.12,37,66,9.75
196,Dunedin,NZ,2022-02-06 01:53:52,-45.8742,170.5036,57.79,61,88,8.01
197,Nome,US,2022-02-06 01:53:53,64.5011,-165.4064,-14.73,93,2,7.92
198,Kimbe,PG,2022-02-06 01:53:53,-5.5502,150.1429,87.85,63,47,9.1
199,Avera,US,2022-02-06 01:53:53,33.194,-82.5271,42.31,52,0,7.54
200,Cap Malheureux,MU,2022-02-06 01:50:52,-19.9842,57.6142,79.47,78,100,5.99
201,Teya,RU,2022-02-06 01:53:54,60.3778,92.6267,3.13,99,100,2.86
202,Anandnagar,IN,2022-02-06 01:53:54,27.1,83.2833,49.77,87,0,4.09
203,Petropavlovsk-Kamchatskiy,RU,2022-02-06 01:49:44,53.0452,158.6483,27.19,69,75,24.61
204,Yar-Sale,RU,2022-02-06 01:53:55,66.8333,70.8333,-15.7,100,81,3.38
205,Jining,CN,2022-02-06 01:53:55,35.405,116.5814,35.55,27,100,1.86
206,Turukhansk,RU,2022-02-06 01:53:56,65.8167,87.9833,-20.07,100,98,1.7
207,Rincon,US,2022-02-06 01:53:57,32.296,-81.2354,50.86,77,69,7.54
208,Charters Towers,AU,2022-02-06 01:53:57,-20.1,146.2667,84.67,40,0,11.7
209,Iracemapolis,BR,2022-02-06 01:53:58,-22.5806,-47.5186,74.71,97,100,1.63
210,Narsaq,GL,2022-02-06 01:53:59,60.9167,-46.05,-3.96,70,100,5.01
211,Morgan City,US,2022-02-06 01:52:48,29.6994,-91.2068,41.0,75,0,0.0
212,Provideniya,RU,2022-02-06 01:49:31,64.3833,-173.3,-1.66,79,0,11.81
213,Jalu,LY,2022-02-06 01:49:21,29.0331,21.5482,53.98,51,0,6.4
214,Karratha,AU,2022-02-06 01:54:00,-20.7377,116.8463,91.02,55,49,12.48
215,Portland,US,2022-02-06 01:53:15,45.5234,-122.6762,48.79,82,19,1.01
216,Salalah,OM,2022-02-06 01:54:00,17.0151,54.0924,68.31,80,3,3.04
217,Saldanha,ZA,2022-02-06 01:49:55,-33.0117,17.9442,68.05,71,72,2.91
218,Aklavik,CA,2022-02-06 01:54:01,68.2191,-135.0107,-31.97,88,60,0.6
219,Aksu,CN,2022-02-06 01:54:01,41.1231,80.2644,22.1,86,100,5.14
220,Laguna,US,2022-02-06 01:54:01,38.421,-121.4238,60.8,59,0,4.61
221,Nhulunbuy,AU,2022-02-06 01:54:02,-12.2333,136.7667,86.61,70,40,5.75
222,Kuusamo,FI,2022-02-06 01:54:02,65.9667,29.1833,17.64,93,100,11.5
223,Inongo,CD,2022-02-06 01:54:02,-1.95,18.2667,74.34,86,100,2.59
224,Padang,ID,2022-02-06 01:54:03,-0.9492,100.3543,75.25,89,100,3.6
